ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
BRE 0000331_37_1,REO,REO,,,BRE 0000331 00,,ASST,ASST,BRE 0000331_37_1,xScotia xLending,2025-03-21,2026-03-21,0,USD,100398,USD,2,1,0,USD,0,USD,0,USD,100398,USD,1728,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,27,Lender Placed,LEND,0XA0,REO,VIIC,VIIC
2AR 1844103_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1844103 02,,ASST,ASST,2AR 1844103_24_1,xScotia xLending,2024-12-06,2025-12-06,0,USD,90638,USD,2,1,0,USD,0,USD,0,USD,90638,USD,692,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0NF2,CHO,ASIC,ASIC
2AR 1845718_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1845718 02,,ASST,ASST,2AR 1845718_24_1,xScotia xLending,2024-12-10,2025-12-10,0,USD,75500,USD,2,1,0,USD,0,USD,0,USD,75500,USD,577,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1847096_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1847096 02,,ASST,ASST,2AR 1847096_24_1,xScotia xLending,2024-10-07,2025-10-07,0,USD,813100,USD,2,1,0,USD,0,USD,0,USD,813100,USD,5706,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,08P8,CHO,ASIC,ASIC
2AR 1848449_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1848449 03,,ASST,ASST,2AR 1848449_24_1,xScotia xLending,2025-02-15,2026-02-15,0,USD,116735,USD,2,1,0,USD,0,USD,0,USD,116735,USD,840,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1849441_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1849441 02,,ASST,ASST,2AR 1849441_24_1,xScotia xLending,2024-12-14,2025-12-14,0,USD,119174,USD,2,1,0,USD,0,USD,0,USD,119174,USD,858,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1849491_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1849491 02,,ASST,ASST,2AR 1849491_24_1,xScotia xLending,2024-12-14,2025-12-14,0,USD,138133,USD,2,1,0,USD,0,USD,0,USD,138133,USD,995,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1849674_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1849674 02,,ASST,ASST,2AR 1849674_24_1,xScotia xLending,2024-12-08,2025-12-08,0,USD,65272,USD,2,1,0,USD,0,USD,0,USD,65272,USD,498,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,08P8,CHO,ASIC,ASIC
2AR 1850933_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1850933 02,,ASST,ASST,2AR 1850933_24_1,xScotia xLending,2024-09-20,2025-09-20,0,USD,68522,USD,2,1,0,USD,0,USD,0,USD,68522,USD,523,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1854921_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1854921 02,,ASST,ASST,2AR 1854921_24_1,xScotia xLending,2024-11-30,2025-11-30,0,USD,92088,USD,2,1,0,USD,0,USD,0,USD,92088,USD,703,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
