ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
2AR 1337694_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1337694 03,,ASST,ASST,2AR 1337694_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,107622,USD,2,1,0,USD,0,USD,0,USD,107622,USD,822,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1337813_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1337813 03,,ASST,ASST,2AR 1337813_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,173108,USD,2,1,0,USD,0,USD,0,USD,173108,USD,1246,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1338212_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1338212 03,,ASST,ASST,2AR 1338212_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,252463,USD,2,1,0,USD,0,USD,0,USD,252463,USD,1818,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1338365_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1338365 03,,ASST,ASST,2AR 1338365_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,158594,USD,2,1,0,USD,0,USD,0,USD,158594,USD,1142,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1338585_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1338585 03,,ASST,ASST,2AR 1338585_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,115303,USD,2,1,0,USD,0,USD,0,USD,115303,USD,830,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1338678_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1338678 03,,ASST,ASST,2AR 1338678_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,154200,USD,2,1,0,USD,0,USD,0,USD,154200,USD,1110,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1338742_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1338742 02,,ASST,ASST,2AR 1338742_24_1,xScotia xLending,2024-03-22,2025-03-22,0,USD,109322,USD,2,1,0,USD,0,USD,0,USD,109322,USD,835,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1343708_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343708 02,,ASST,ASST,2AR 1343708_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,110920,USD,2,1,0,USD,0,USD,0,USD,110920,USD,799,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343716_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343716 02,,ASST,ASST,2AR 1343716_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,127569,USD,2,1,0,USD,0,USD,0,USD,127569,USD,918,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343719_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343719 02,,ASST,ASST,2AR 1343719_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,11451,USD,2,1,0,USD,0,USD,0,USD,11451,USD,87,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343736_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343736 02,,ASST,ASST,2AR 1343736_24_1,xScotia xLending,2024-04-02,2025-04-02,0,USD,144382,USD,2,1,0,USD,0,USD,0,USD,144382,USD,1040,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343744_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343744 02,,ASST,ASST,2AR 1343744_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,98534,USD,2,1,0,USD,0,USD,0,USD,98534,USD,752,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343781_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343781 02,,ASST,ASST,2AR 1343781_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,108828,USD,2,1,0,USD,0,USD,0,USD,108828,USD,831,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343783_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343783 02,,ASST,ASST,2AR 1343783_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,91430,USD,2,1,0,USD,0,USD,0,USD,91430,USD,698,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1343794_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1343794 02,,ASST,ASST,2AR 1343794_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,148932,USD,2,1,0,USD,0,USD,0,USD,148932,USD,1072,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0VE1,CHO,ASIC,ASIC
2AR 1359662_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1359662 02,,ASST,ASST,2AR 1359662_24_1,xScotia xLending,2024-03-31,2025-03-31,0,USD,161984,USD,2,1,0,USD,0,USD,0,USD,161984,USD,1166,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0F78,CHO,ASIC,ASIC
2AR 1360348_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1360348 02,,ASST,ASST,2AR 1360348_24_1,xScotia xLending,2024-04-02,2025-04-02,0,USD,66744,USD,2,1,0,USD,0,USD,0,USD,66744,USD,510,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1360432_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1360432 02,,ASST,ASST,2AR 1360432_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,75926,USD,2,1,0,USD,0,USD,0,USD,75926,USD,580,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1360446_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1360446 02,,ASST,ASST,2AR 1360446_24_1,xScotia xLending,2024-04-04,2025-04-04,0,USD,98666,USD,2,1,0,USD,0,USD,0,USD,98666,USD,753,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1360522_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1360522 02,,ASST,ASST,2AR 1360522_24_1,xScotia xLending,2024-04-05,2025-04-05,0,USD,156643,USD,2,1,0,USD,0,USD,0,USD,156643,USD,1128,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1363221_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1363221 03,,ASST,ASST,2AR 1363221_24_1,xScotia xLending,2025-03-01,2026-03-01,0,USD,279563,USD,2,1,0,USD,0,USD,0,USD,279563,USD,1962,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1DE5,CHO,ASIC,ASIC
2AR 1363274_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1363274 02,,ASST,ASST,2AR 1363274_24_1,xScotia xLending,2024-04-06,2025-04-06,0,USD,236800,USD,2,1,0,USD,0,USD,0,USD,236800,USD,1705,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1367579_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1367579 03,,ASST,ASST,2AR 1367579_24_1,xScotia xLending,2024-09-30,2025-09-30,0,USD,192090,USD,2,1,0,USD,0,USD,0,USD,192090,USD,1383,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1370342_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1370342 02,,ASST,ASST,2AR 1370342_24_1,xScotia xLending,2024-04-10,2025-04-10,0,USD,200366,USD,2,1,0,USD,0,USD,0,USD,200366,USD,1443,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1370361_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1370361 02,,ASST,ASST,2AR 1370361_24_1,xScotia xLending,2024-04-11,2025-04-11,0,USD,201787,USD,2,1,0,USD,0,USD,0,USD,201787,USD,1453,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1375690_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1375690 02,,ASST,ASST,2AR 1375690_24_1,xScotia xLending,2024-04-13,2025-04-13,0,USD,114373,USD,2,1,0,USD,0,USD,0,USD,114373,USD,823,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1379693_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1379693 02,,ASST,ASST,2AR 1379693_24_1,xScotia xLending,2024-04-15,2025-04-15,0,USD,179830,USD,2,1,0,USD,0,USD,0,USD,179830,USD,1295,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1382598_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1382598 02,,ASST,ASST,2AR 1382598_24_1,xScotia xLending,2024-04-17,2025-04-17,0,USD,185704,USD,2,1,0,USD,0,USD,0,USD,185704,USD,1337,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1382654_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1382654 02,,ASST,ASST,2AR 1382654_24_1,xScotia xLending,2024-04-18,2025-04-18,0,USD,152012,USD,2,1,0,USD,0,USD,0,USD,152012,USD,1094,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1388010_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1388010 02,,ASST,ASST,2AR 1388010_24_1,xScotia xLending,2024-04-20,2025-04-20,0,USD,151288,USD,2,1,0,USD,0,USD,0,USD,151288,USD,1089,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1388030_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1388030 02,,ASST,ASST,2AR 1388030_24_1,xScotia xLending,2024-04-20,2025-04-20,0,USD,103811,USD,2,1,0,USD,0,USD,0,USD,103811,USD,793,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1388046_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1388046 02,,ASST,ASST,2AR 1388046_24_1,xScotia xLending,2024-04-20,2025-04-20,0,USD,126491,USD,2,1,0,USD,0,USD,0,USD,126491,USD,911,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1388059_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1388059 02,,ASST,ASST,2AR 1388059_24_1,xScotia xLending,2024-04-20,2025-04-20,0,USD,95594,USD,2,1,0,USD,0,USD,0,USD,95594,USD,730,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1398697_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1398697 02,,ASST,ASST,2AR 1398697_24_1,xScotia xLending,2024-04-25,2025-04-25,0,USD,100574,USD,2,1,0,USD,0,USD,0,USD,100574,USD,768,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1405678_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1405678 02,,ASST,ASST,2AR 1405678_24_1,xScotia xLending,2024-04-25,2025-04-25,0,USD,113006,USD,2,1,0,USD,0,USD,0,USD,113006,USD,814,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1410856_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1410856 02,,ASST,ASST,2AR 1410856_24_1,xScotia xLending,2024-04-27,2025-04-27,0,USD,107875,USD,2,1,0,USD,0,USD,0,USD,107875,USD,824,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1413149_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1413149 02,,ASST,ASST,2AR 1413149_24_1,xScotia xLending,2024-05-04,2025-05-04,0,USD,68409,USD,2,1,0,USD,0,USD,0,USD,68409,USD,522,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1417310_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1417310 02,,ASST,ASST,2AR 1417310_24_1,xScotia xLending,2024-05-01,2025-05-01,0,USD,171680,USD,2,1,0,USD,0,USD,0,USD,171680,USD,1236,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0F78,CHO,ASIC,ASIC
2AR 1422836_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1422836 02,,ASST,ASST,2AR 1422836_24_1,xScotia xLending,2024-05-07,2025-05-07,0,USD,97291,USD,2,1,0,USD,0,USD,0,USD,97291,USD,743,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1422857_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1422857 02,,ASST,ASST,2AR 1422857_24_1,xScotia xLending,2024-05-07,2025-05-07,0,USD,74525,USD,2,1,0,USD,0,USD,0,USD,74525,USD,569,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1445526_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1445526 02,,ASST,ASST,2AR 1445526_24_1,xScotia xLending,2024-05-23,2025-05-23,0,USD,224920,USD,2,1,0,USD,0,USD,0,USD,224920,USD,1619,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1445534_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1445534 02,,ASST,ASST,2AR 1445534_24_1,xScotia xLending,2024-05-21,2025-05-21,0,USD,131529,USD,2,1,0,USD,0,USD,0,USD,131529,USD,947,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1463719_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1463719 02,,ASST,ASST,2AR 1463719_24_1,xScotia xLending,2024-03-28,2025-03-28,0,USD,84353,USD,2,1,0,USD,0,USD,0,USD,84353,USD,644,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1463800_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1463800 02,,ASST,ASST,2AR 1463800_24_1,xScotia xLending,2024-05-28,2025-05-28,0,USD,86432,USD,2,1,0,USD,0,USD,0,USD,86432,USD,660,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1463803_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1463803 02,,ASST,ASST,2AR 1463803_24_1,xScotia xLending,2024-05-29,2025-05-29,0,USD,202068,USD,2,1,0,USD,0,USD,0,USD,202068,USD,1455,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1463838_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1463838 02,,ASST,ASST,2AR 1463838_24_1,xScotia xLending,2024-05-28,2025-05-28,0,USD,75249,USD,2,1,0,USD,0,USD,0,USD,75249,USD,575,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1473506_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1473506 02,,ASST,ASST,2AR 1473506_24_1,xScotia xLending,2024-06-01,2025-06-01,0,USD,99140,USD,2,1,0,USD,0,USD,0,USD,99140,USD,757,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0NF2,CHO,ASIC,ASIC
2AR 1475263_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1475263 02,,ASST,ASST,2AR 1475263_24_1,xScotia xLending,2024-06-01,2025-06-01,0,USD,59199,USD,2,1,0,USD,0,USD,0,USD,59199,USD,452,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,0F78,CHO,ASIC,ASIC
2AR 1479311_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1479311 02,,ASST,ASST,2AR 1479311_24_1,xScotia xLending,2024-06-08,2025-06-08,0,USD,112867,USD,2,1,0,USD,0,USD,0,USD,112867,USD,813,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1488366_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1488366 02,,ASST,ASST,2AR 1488366_24_1,xScotia xLending,2024-06-11,2025-06-11,0,USD,99502,USD,2,1,0,USD,0,USD,0,USD,99502,USD,760,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1495805_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1495805 02,,ASST,ASST,2AR 1495805_24_1,xScotia xLending,2024-06-16,2025-06-16,0,USD,97187,USD,2,1,0,USD,0,USD,0,USD,97187,USD,742,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1498466_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1498466 02,,ASST,ASST,2AR 1498466_24_1,xScotia xLending,2024-06-12,2025-06-12,0,USD,248639,USD,2,1,0,USD,0,USD,0,USD,248639,USD,1790,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1507745_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1507745 02,,ASST,ASST,2AR 1507745_24_1,xScotia xLending,2024-06-22,2025-06-22,0,USD,78644,USD,2,1,0,USD,0,USD,0,USD,78644,USD,601,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1510330_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1510330 02,,ASST,ASST,2AR 1510330_24_1,xScotia xLending,2024-06-16,2025-06-16,0,USD,78933,USD,2,1,0,USD,0,USD,0,USD,78933,USD,603,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,08P8,CHO,ASIC,ASIC
2AR 1516086_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1516086 02,,ASST,ASST,2AR 1516086_24_1,xScotia xLending,2024-06-24,2025-06-24,0,USD,77618,USD,2,1,0,USD,0,USD,0,USD,77618,USD,593,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1518824_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1518824 02,,ASST,ASST,2AR 1518824_24_1,xScotia xLending,2024-06-27,2025-06-27,0,USD,117209,USD,2,1,0,USD,0,USD,0,USD,117209,USD,844,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1518903_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1518903 02,,ASST,ASST,2AR 1518903_24_1,xScotia xLending,2024-06-27,2025-06-27,0,USD,94614,USD,2,1,0,USD,0,USD,0,USD,94614,USD,723,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1522383_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1522383 02,,ASST,ASST,2AR 1522383_24_1,xScotia xLending,2024-06-28,2025-06-28,0,USD,196793,USD,2,1,0,USD,0,USD,0,USD,196793,USD,1417,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1531618_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1531618 02,,ASST,ASST,2AR 1531618_24_1,xScotia xLending,2024-06-29,2025-06-29,0,USD,277139,USD,2,1,0,USD,0,USD,0,USD,277139,USD,1945,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1531639_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1531639 02,,ASST,ASST,2AR 1531639_24_1,xScotia xLending,2024-06-29,2025-06-29,0,USD,245837,USD,2,1,0,USD,0,USD,0,USD,245837,USD,1770,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1531683_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1531683 02,,ASST,ASST,2AR 1531683_24_1,xScotia xLending,2024-06-29,2025-06-29,0,USD,185395,USD,2,1,0,USD,0,USD,0,USD,185395,USD,1335,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1533482_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1533482 02,,ASST,ASST,2AR 1533482_24_1,xScotia xLending,2024-06-30,2025-06-30,0,USD,72349,USD,2,1,0,USD,0,USD,0,USD,72349,USD,552,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1533584_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1533584 02,,ASST,ASST,2AR 1533584_24_1,xScotia xLending,2024-06-30,2025-06-30,0,USD,136555,USD,2,1,0,USD,0,USD,0,USD,136555,USD,983,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1536003_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1536003 02,,ASST,ASST,2AR 1536003_24_1,xScotia xLending,2024-07-01,2025-07-01,0,USD,87600,USD,2,1,0,USD,0,USD,0,USD,87600,USD,669,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1540807_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1540807 02,,ASST,ASST,2AR 1540807_24_1,xScotia xLending,2024-07-02,2025-07-02,0,USD,91362,USD,2,1,0,USD,0,USD,0,USD,91362,USD,698,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1540816_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1540816 02,,ASST,ASST,2AR 1540816_24_1,xScotia xLending,2024-07-05,2025-07-05,0,USD,85652,USD,2,1,0,USD,0,USD,0,USD,85652,USD,654,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
